P;PID;FLC;FLC3
0;0;0;0
0;0;0;0
0.00023136;0.0146492;0;0
0.000893052;0.0422344;0.000832896;0.000745796
0.00215424;0.081159;0.00321499;0.00287878
0.00415752;0.129777;0.00775526;0.00694426
0.00702181;0.186428;0.0149506;0.0133873
0.0108449;0.249467;0.0251846;0.0225497
0.0157057;0.317288;0.0387289;0.0346707
0.0216664;0.388353;0.0557477;0.0498962
0.028774;0.461206;0.0763042;0.0683001
0.0370622;0.534494;0.100368;0.0899098
0.0465527;0.60698;0.12789;0.114729
0.0572566;0.677552;0.158808;0.142746
0.0691754;0.745231;0.193054;0.173932
0.0823021;0.809175;0.23055;0.208249
0.0966221;0.868683;0.270661;0.245093
0.112114;0.923192;0.312822;0.283927
0.128751;0.972273;0.356537;0.324282
0.146501;1.01563;0.401372;0.365743
0.165326;1.05308;0.446947;0.407951
0.185185;1.08458;0.492931;0.450589
0.206033;1.11016;0.539038;0.493386
0.227823;1.12998;0.585019;0.536104
0.250504;1.14424;0.630663;0.578542
0.274022;1.15326;0.675787;0.620526
0.298325;1.15739;0.719684;0.661909
0.323354;1.15704;0.761747;0.702569
0.349054;1.15266;0.801463;0.741846
0.375364;1.14471;0.838402;0.779179
0.402226;1.1337;0.872209;0.814094
0.42958;1.12012;0.902618;0.846196
0.457366;1.10445;0.929506;0.875157
0.485524;1.08719;0.952849;0.900751
0.513993;1.0688;0.972685;0.922884
0.542715;1.04972;0.989146;0.94161
0.57163;1.03037;1.00239;0.957082
0.60068;1.01112;1.01256;0.969499
0.629807;0.992314;1.01975;0.979018
0.658954;0.974262;1.02409;0.985765
0.688065;0.957222;1.02574;0.989887
0.717086;0.941415;1.02491;0.991564
0.745963;0.92702;1.02183;0.991015
0.774645;0.914175;1.01679;0.988488
0.803081;0.902979;1.01007;0.984254
0.831222;0.893495;1.00199;0.978581
0.859021;0.885749;0.992876;0.971737
0.886432;0.879735;0.983031;0.963997
0.913411;0.875419;0.972768;0.955632
0.939916;0.872739;0.962382;0.946908
0.965907;0.871613;0.952145;0.938078
0.991345;0.871938;0.942303;0.929373
1.01619;0.873596;0.933069;0.921001
1.04042;0.876457;0.924624;0.913141
1.06399;0.880382;0.917116;0.905944
1.08688;0.885226;0.910659;0.899525
1.10905;0.890842;0.905339;0.893971
1.13047;0.897083;0.901211;0.889334
1.15114;0.903803;0.898305;0.885644
1.17101;0.910863;0.896635;0.882931
