T1;T2
0;0
0;0
-0.000138816;-0.000138816
-0.000258199;-0.000258199
-0.000220881;-0.000220881
9.05427e-05;9.05427e-05
0.000775788;0.000775788
0.00191884;0.00191884
0.00358972;0.00358972
0.00584608;0.00584608
0.00873463;0.00873463
0.0122924;0.0122924
0.016548;0.016548
0.0215225;0.0215225
0.0272305;0.0272305
0.0336808;0.0336808
0.0408774;0.0408774
0.04882;0.04882
0.0575045;0.0575045
0.0669237;0.0669237
0.0770678;0.0770678
0.0879247;0.0879247
0.0994804;0.0994804
0.111719;0.111719
0.124625;0.124625
0.138179;0.138179
0.152363;0.152363
0.167158;0.167158
0.182545;0.182545
0.198503;0.198503
0.215013;0.215013
0.232055;0.232055
0.249609;0.249609
0.267656;0.267656
0.286176;0.286176
0.30515;0.30515
0.32456;0.32456
0.344387;0.344387
0.364614;0.364614
0.385223;0.385223
0.406197;0.406197
0.427521;0.427521
0.449178;0.449178
0.471153;0.471153
0.493431;0.493431
0.515999;0.515999
0.538843;0.538843
0.561948;0.561948
0.585273;0.585288
0.608746;0.608822
0.632281;0.632481
0.655781;0.656172
0.679147;0.679784
0.702275;0.703197
0.725059;0.726278
0.74739;0.74889
0.769154;0.770881
0.790226;0.792109
0.810464;0.812437
0.829743;0.831748
0.84796;0.849948
0.865032;0.866962
0.881024;0.882793
0.895988;0.897448
0.909967;0.910935
0.922997;0.923263
0.935105;0.934442
0.946315;0.944539
0.956648;0.95361
0.966124;0.961698
0.974762;0.968844
0.982584;0.975087
0.989618;0.980473
0.995899;0.985051
1.00147;0.988869
1.00636;0.991971
1.01059;0.994404
1.01419;0.99622
1.01718;0.997477
1.01957;0.998237
1.0214;0.998556
1.02266;0.998489
1.0234;0.998084
1.02361;0.997391
1.02333;0.996458
1.02258;0.995326
1.02141;0.994037
1.01988;0.992628
1.01802;0.991134
1.01588;0.989586
1.0135;0.988014
1.01092;0.986444
1.00819;0.9849
1.00534;0.983401
1.00241;0.981968
0.999455;0.980616
0.996511;0.97936
0.993623;0.978212
0.990827;0.977183
0.988156;0.976281
0.985641;0.975514
0.983311;0.974887
0.98119;0.974404
0.9793;0.974069
0.97766;0.973883
0.976285;0.973848
0.975188;0.973963
0.974378;0.974228
0.973864;0.974639
0.973648;0.975194
0.973734;0.975891
0.974121;0.976725
0.974806;0.977686
0.975784;0.978763
0.97705;0.979942
0.978579;0.981212
0.980346;0.982562
0.98232;0.983977
0.984472;0.985447
0.986772;0.98696
0.989186;0.988504
0.991684;0.990068
0.994235;0.991642
0.996806;0.993214
0.999368;0.994774
1.00189;0.996313
1.00434;0.997821
1.00669;0.999289
1.00891;1.00071
1.01098;1.00207
1.01289;1.00336
