Date,Open,High,Low,Close,Adj Close,Volume
2015-05-26,55.25,55.5,54,54,54,410571
2015-05-27,54,54,51.5,52.5,52.5,809557
2015-05-28,52.75,55.75,52.75,55.25,55.25,829373
2015-05-29,56.25,59.5,56.25,58.5,58.5,1398775
2015-06-01,58.5,58.5,54.75,55.5,55.5,807552
2015-06-02,56.25,56.25,54.75,55.25,55.25,287846
2015-06-03,55.25,56.75,55.25,56.75,56.75,267809
2015-06-04,56.75,57,55.5,56,56,160201
2015-06-05,56,56,54.75,56,56,257323
2015-06-08,56.5,56.5,55.25,55.75,55.75,169741
2015-06-09,55.5,55.5,52.75,53,53,353206
2015-06-10,53.25,54.5,53.25,54,54,338699
2015-06-11,55.75,56.5,54.75,56.25,56.25,459043
2015-06-12,56.25,56.75,55,55.5,55.5,237481
2015-06-15,55.75,56,54.5,55.5,55.5,162101
2015-06-16,55.25,56.5,53.25,56,56,558044
2015-06-17,57,57.5,54.5,55,55,371436
2015-06-18,55.25,57.25,52.5,56.25,56.25,1321340
2015-06-19,56.75,58.799999,55.75,56.650002,56.650002,1289943
2015-06-22,58,58.549999,56.25,56.349998,56.349998,431120
2015-06-23,56.599998,57.25,55.849998,56.099998,56.099998,274003
2015-06-24,56.25,56.5,54.299999,55.900002,55.900002,291558
2015-06-25,55.700001,55.75,54.25,54.75,54.75,308817
2015-06-26,54.549999,55,53.799999,54.450001,54.450001,342414
2015-06-29,52,53.799999,51.25,53.549999,53.549999,402046
2015-06-30,53.549999,54.849998,53.049999,54.150002,54.150002,572653
2015-07-01,54.75,55.400002,54.099998,55,55,308794
2015-07-02,54.5,55,51.25,51.700001,51.700001,1172056
2015-07-03,51.900002,52.049999,50.75,51.299999,51.299999,607754
2015-07-06,50.650002,51.450001,49.900002,51,51,559879
2015-07-07,51.900002,51.900002,49.610001,49.900002,49.900002,393093
2015-07-08,49.900002,49.900002,48.5,49.080002,49.080002,654990
2015-07-09,49.259998,49.650002,48.18,49.240002,49.240002,690280
2015-07-10,50.049999,50.299999,48.220001,48.919998,48.919998,496458
2015-07-13,50.400002,54.349998,50.299999,52.650002,52.650002,1447080
2015-07-14,52.650002,55.75,52.150002,55.450001,55.450001,1364168
2015-07-15,55.950001,57,55,56.799999,56.799999,773086
2015-07-16,56.849998,58,56.150002,56.799999,56.799999,781002
2015-07-17,57.25,57.599998,55.700001,56,56,307203
2015-07-20,57.25,57.25,56,56.299999,56.299999,267005
2015-07-21,56.299999,56.299999,54.5,55.099998,55.099998,419581
2015-07-22,54.25,55.400002,53.5,53.900002,53.900002,403747
2015-07-23,54.25,54.950001,53.049999,54.5,54.5,380540
2015-07-24,54.349998,57.150002,54.349998,56.549999,56.549999,748129
2015-07-27,56.549999,56.549999,53.950001,54.400002,54.400002,453016
2015-07-28,53.950001,54,51.549999,52.400002,52.400002,662630
2015-07-29,52.799999,53.349998,51.75,52.650002,52.650002,363280
2015-07-30,52.700001,53.25,52.049999,52.299999,52.299999,442758
2015-07-31,52.5,52.650002,51.5,52.150002,52.150002,332460
2015-08-03,52.150002,52.25,50.25,51.75,51.75,481003
2015-08-04,51.75,52.849998,51.25,51.950001,51.950001,357608
2015-08-05,51.950001,52.049999,50.799999,51.549999,51.549999,362606
2015-08-06,51.549999,51.849998,50.299999,51.049999,51.049999,359305
2015-08-07,51.349998,51.400002,50,50.700001,50.700001,307362
2015-08-10,50.700001,52,49.099998,52,52,613734
2015-08-11,52.349998,53.700001,51.650002,52.099998,52.099998,528374
2015-08-12,52.200001,52.200001,49.900002,49.939999,49.939999,468784
2015-08-13,51.450001,51.650002,49.799999,50,50,397344
2015-08-14,50.349998,50.799999,49,49.41,49.41,374626
2015-08-17,49.599998,50.75,47.040001,47.759998,47.759998,464745
2015-08-18,48.450001,49.400002,47.299999,49.099998,49.099998,696106
2015-08-19,48.59,49.400002,48.200001,49.099998,49.099998,470154
2015-08-20,48.5,48.700001,45.299999,45.610001,45.610001,669777
