OSEBX,Siste,Høy,Lav,Offisielt omsatt (NOK)
22.05.20,776.65,789.32,770.74,"5,200,005,818.00"
20.05.20,789.33,789.34,775.05,"5,531,081,569.00"
19.05.20,780.37,784.56,771.01,"5,885,278,274.00"
18.05.20,771.58,771.58,753.59,"4,950,121,802.00"
15.05.20,753.61,755.32,737.43,"5,009,664,451.00"
14.05.20,737.25,757.69,736.34,"5,028,595,858.00"
13.05.20,758.14,770.15,754.80,"5,283,040,793.00"
12.05.20,770.02,773.34,761.37,"4,775,590,992.00"
11.05.20,764.08,777.01,761.34,"4,423,653,934.00"
08.05.20,769.62,769.62,756.60,"4,324,391,093.00"
07.05.20,756.59,757.04,746.35,"4,694,843,991.00"
06.05.20,747.58,758.10,747.46,"4,788,718,376.00"
05.05.20,757.81,763.02,751.27,"5,314,337,798.00"
04.05.20,751.27,775.05,750.07,"6,024,932,766.00"
30.04.20,775.11,780.16,765.46,"7,098,272,095.00"
29.04.20,772.15,773.58,757.57,"6,455,106,266.00"
28.04.20,757.53,760.12,742.20,"5,801,737,184.00"
27.04.20,743.42,746.60,738.16,"4,092,217,748.00"
24.04.20,738.13,750.17,735.66,"4,708,062,704.00"
23.04.20,750.14,750.14,736.12,"5,288,394,448.00"
22.04.20,738.12,740.32,716.04,"5,462,246,361.00"
21.04.20,726.70,740.89,721.29,"5,585,718,196.00"
20.04.20,740.90,751.68,729.01,"4,963,366,941.00"
17.04.20,748.45,749.19,727.73,"6,475,404,898.00"
16.04.20,727.68,743.08,726.94,"5,661,564,871.00"
15.04.20,737.47,755.55,733.86,"5,804,447,826.00"
14.04.20,755.40,755.40,734.38,"7,349,956,461.00"
08.04.20,734.38,744.35,729.73,"3,443,984,134.00"
07.04.20,744.39,750.15,730.78,"6,314,900,927.00"
06.04.20,728.51,728.72,710.97,"5,724,144,744.00"
03.04.20,712.21,718.33,705.31,"6,493,421,201.00"
02.04.20,713.01,731.89,705.05,"7,631,805,596.00"
01.04.20,719.58,719.58,688.17,"6,624,989,659.00"
31.03.20,707.13,709.02,687.11,"8,791,872,005.00"
30.03.20,686.93,686.93,647.62,"5,970,964,364.00"
